"";"genotype";"N_change";"Fe_change";"Mg_change";"Mn_change";"Na_change";"Zn_change";"C_change";"Cu_change";"cluster"
"145";"6_69";-7,45;10,81;-9,88;15,19;-20,16;-24,83;-4,58;-18,99;"2"
"146";"6_70";-3,47;-23,22;-9,64;5,67;-1,28;-19,18;-7,13;-17,68;"2"
"148";"6_72";-11,06;5,11;-15,85;-16,37;-8,23;1,73;-5,93;-12,29;"2"
"149";"6_73";-13,03;12,38;-22,96;-28,64;-7,19;-9,94;-5,72;-22,91;"1"
"153";"6_77";-16,18;-2,58;-12,63;-1,83;-10,68;-3,65;-5,43;-13,71;"2"
"155";"6_79";-17,57;-32,33;-24,78;-9,75;-2,42;-14,59;-7,37;-16,35;"1"
"156";"6_80";-17,27;4,04;-3,65;5,17;2,35;-23,37;0,19;-7,78;"2"
"157";"6_81";-13,73;-14,77;-18,12;-15,37;-20,69;-9,28;-3,24;-8,04;"2"
"158";"6_82";-13,47;-17,94;-15,69;-8,86;4,52;-11,76;-1,05;-13;"2"
"159";"6_83";-10,93;-20,46;-7,26;-3,35;23,95;-19,39;-5,42;-7,3;"2"
"161";"6_85";-3,38;-26,96;6,3;26,29;1,84;-17,42;3,16;10,53;"1"
"162";"6_86";-9,8;-6,71;-0,58;41,86;-9,78;-13,79;-9,01;9,69;"1"
"163";"6_87";-10,89;5,72;-12,91;1,7;-13,33;-13,04;-3,81;6,94;"2"
"164";"6_88";-7,52;2,44;-1,97;20,82;-16,66;-10,74;-1,15;-1,7;"2"
"165";"6_89";-12,79;-20,28;-19,78;-20,42;-14,25;-31,38;4,04;-22,22;"2"
"166";"6_90";-1,73;-19,31;-6,5;1,28;9,19;-4,79;-0,79;15,57;"2"
"167";"6_91";-11,11;-8,14;-2,53;-8,46;31,88;-27,71;-3,54;4,8;"1"
"168";"6_92";-11,62;-21,87;-11,06;8,43;7,77;-12,2;2,05;5,73;"3"
"169";"6_94";-14,33;-13,82;-9,59;-6,27;16,68;-23,84;-1,69;6,19;"3"
"170";"6_95";-3,83;18,57;-4,18;6,68;12,61;-16,34;-2,01;24,09;"3"
"171";"6_96";-13,28;-7,17;-5,98;-13,94;4,28;-14,1;-1,46;21,69;"3"
"172";"6_97";-27,62;-3,52;-11,12;-2,05;-16,06;-21,77;-10,15;-6,86;"1"
"173";"6_99";-7,54;-31,61;-10,33;7,2;-10,54;-17,31;-2,11;8,93;"1"
"174";"6_100";-9,73;-8,27;12,7;17,08;18,34;-19,88;-2,91;16,51;"2"
"175";"6_101";-18,27;-13,56;-11,28;-11,09;-7,08;-31,73;0,26;-3,85;"3"
"177";"6_103";-12,05;-18,77;-15,99;-19,43;-13,16;-18,05;1,2;-25,68;"1"
"179";"6_105";-12,39;1,25;-3,33;-7,09;1,79;-17,17;-2,68;-3,23;"3"
"182";"6_108";-25,23;-31,35;-12,95;-30,69;-12,13;-14,92;2,53;-13,96;"2"
"184";"6_110";-13,98;-37,48;-18,53;4,09;-25,38;-29,35;7,8;-21,82;"1"
"185";"6_111";-15,92;-42,25;-1,9;-7,16;-32,11;-19,06;3,3;-18,55;"2"
"186";"6_112";-13,36;-19,05;-10,38;-1,38;-29,55;-7,11;-3,35;-4,16;"1"
"187";"6_113";-18,74;-21,38;-10,6;3,51;-2,47;-18,82;1,25;12,17;"1"
"188";"6_114";-12,8;1,44;6,96;38,27;-7,22;-8,7;0,95;59,08;"2"
"189";"6_115";-19,78;-21,17;-6,93;-9,31;-9;-28,41;4,05;30,6;"1"
"190";"6_116";-14,62;-8,53;10,8;41,46;9,34;8,05;-5,4;82,39;"1"
"191";"6_117";-27,62;-8,68;-19,78;-27,24;-10,86;-6,45;1,8;-25,11;"1"
"192";"6_118";-13,38;-27,97;-7,89;30,54;10,89;-17,32;-1,66;2,51;"1"
