genotype;Cu_eCo2;Cu_aCo2;Fe_eCo2;Fe_aCo2;Mg_eCo2;Mg_aCo2;Mn_eCo2;Mn_aCo2;Na_eCo2;Na_aCo2;Zn_eCo2;Zn_aCo2;C_eCo2;C_aCo2;N_eCo2;N_aCo2;N_change;aCN_ratio;eCN_ratio;eCN_aCN;Fe_change;Mg_change;Mn_change;Na_change;Zn_change
ARR-30;6.68;6.71;67.36;83.97;3243.14;3392.4;62.45;44.96;1740.29;1619.69;43.6;49.19;37.3;33.66;6.54;5.91;;;;;;;;;
ARR-4;6.01;8.18;68.48;86.71;3198.12;3481.62;58.39;63.69;1788.88;1764.48;41.81;52.5;36.59;35.82;6.52;6.55;;;;;;;;;
ARR-5;6.99;8.5;62.49;86.04;2899.55;3417.53;62.71;48.53;2309.81;2003.54;39.11;50.28;36.37;33.95;6.02;6.55;;;;;;;;;
ARR-7;6.31;7.9;54.98;94.36;2991.04;3533.79;63.32;56.07;2120.07;1953.14;40.34;52.86;37.45;36.13;6.13;6.2;;;;;;;;;
ARR-8;6.68;7.67;63.35;85.29;3191.24;3350.49;56.44;51.67;2213.57;2217.11;40.54;46.71;37.95;36.11;6.32;6.3;;;;;;;;;
ARR-9;6.76;6.59;57.73;81.08;2891.31;3438.63;56.28;53.62;2501.7;2004.2;36.72;43.07;37.86;34.87;6.06;6.28;;;;;;;;;
BEZ-1;6.19;5.82;68.31;65.96;3710.09;3685.59;93.54;51.9;2817.79;2898.17;51.17;49.47;36.85;34.4;7.05;6.5;;;;;;;;;
BEZ-10;5.53;6.21;64.28;76.17;3520.8;3314.5;82.71;48.91;2953.35;2674.05;51.15;47.51;36.37;35.14;6.93;6.57;;;;;;;;;
BEZ-11;5.72;5.38;66.24;65.63;3512.81;3393.51;86.74;44.65;2934.25;3025.57;52.66;48.14;36.64;34.79;7.23;6.52;;;;;;;;;
BEZ-12;5.33;5.36;60.3;71.95;3423.23;4072.73;81.61;78.66;2590.28;2783.38;46.88;50.05;36.4;33.01;7.05;6.32;;;;;;;;;
BEZ-13;6.02;5.82;48.9;66.77;2949.31;3441.39;68.71;50.59;3012.76;3007.61;40.62;48.56;37.8;33.98;5.74;6.33;;;;;;;;;
BEZ-15;6.02;5.13;58.73;69.11;3368.59;3574;84.58;40.29;2859.11;3005.52;46.43;42.98;35.66;35.62;6.59;6.62;;;;;;;;;
BEZ-16;5.64;5.78;56.44;86.77;3211.37;3545.59;73.6;55.92;2802.08;2858.17;48.54;50.38;35.71;35.3;6.62;6.6;;;;;;;;;
BEZ-17;5.05;5.11;57.92;64.84;3233.86;3599.87;62.52;59.03;2880;3135.04;47.61;46.25;37.36;35.6;6.8;6.68;;;;;;;;;
BEZ-18;5.46;4.79;58.25;63.57;3415.95;3564.84;73.49;46.71;2819.36;3044.64;50.28;50.13;36.97;36.24;6.89;6.79;;;;;;;;;
BEZ-19;5.94;4.25;61.73;65.68;3391.76;3270.02;73.85;44.95;2788.13;2986.07;50.3;44.7;36.42;34.53;7.06;6.61;;;;;;;;;
BEZ-2;4.88;4.83;61.84;67.08;3344.58;3380.06;58.07;43.74;3037.39;2785.46;51.42;47.22;36.32;35.83;6.59;6.35;;;;;;;;;
BEZ-20;5.21;3.28;64.37;57.74;3348.9;2883.18;67.09;31.53;2608.91;2883.18;516.52;38.29;36.09;36.11;7.19;5.94;;;;;;;;;
BEZ-21;6.82;7.05;66.41;61.67;3436.03;3239.18;66.18;43.23;2202.22;2875.1;517.41;43.46;36.22;36.2;7.08;6.44;;;;;;;;;
BEZ-22;5.48;7.02;55.68;96.57;3260.7;3696.3;72.98;57.27;3178.23;2867.6;476.27;50.81;36.62;34.13;6.54;7;;;;;;;;;
BEZ-23;5.25;6.83;64.34;74.91;3338.14;3656.63;68.28;53.98;2911.82;2809.89;489.35;53.54;36.54;34.3;6.62;6.74;;;;;;;;;
BEZ-3;5.64;6.91;66.31;74.46;3356.19;3875.18;55.5;55.85;2831.08;2802.14;40.68;75.79;35.58;34.86;6.38;6.83;;;;;;;;;
BEZ-4;6.06;7.11;68.01;67.4;3861.51;3792.47;59.7;69.26;2934.29;2955.51;43.77;47.92;35.97;34.66;6.84;6.45;;;;;;;;;
BEZ-6;5.58;6.26;62.33;71.95;3608.45;3714.43;56.97;48.37;2841.1;2800.92;50.49;48.61;36.4;35.59;6.7;6.79;;;;;;;;;
BEZ-7;5.55;6.34;61.85;59.47;3479.31;3445.21;46.71;49.48;2728.6;2772.01;41.37;44.6;35.67;35.97;6.63;6.61;;;;;;;;;
BEZ-8;5.72;6.45;65.6;77.36;3876.43;3299.47;64.17;48.58;2939.7;2928.31;47.71;43.06;35.41;35.3;6.9;6.6;;;;;;;;;
BEZ-9;6.72;7.24;66.77;73.19;3619.41;3511.89;50.19;52.45;2966.74;2862.97;49.52;47.96;35.53;34.92;6.89;6.66;;;;;;;;;
ISS-3;6.44;8.29;62.73;65.42;3686.21;3685.46;51.52;26.72;3227.28;2474.48;41.03;46.99;36.25;34.38;6.23;6.54;;;;;;;;;
ISS-11;7;7.27;62.71;64.45;4127.04;3803.73;64.46;37.07;2946.56;2699.36;45.72;47.73;36.2;35.53;6.05;6.34;;;;;;;;;
ISS-15;5.39;7.45;67.02;66.62;3691.39;3456.31;34.92;41.23;3028.86;2746.09;38.01;42.39;36.06;35.77;5.83;6.79;;;;;;;;;
ISS-16;6.53;5.56;57.99;65.22;3623.67;3364.61;38.4;38.17;2966.48;2680.28;43.1;38.89;35.26;36.09;6.17;5.64;;;;;;;;;
ISS-20;6.44;8.33;114.5;84.03;3548.95;3536.79;52.24;50;896.18;796.58;38.88;44.68;37.14;36.01;6.58;6.3;;;;;;;;;
ISS-4;7.74;7.6;63.77;67.84;3878.94;3908.42;69.87;42.69;2671.07;2484.87;48.77;41.65;37.17;35.89;6.77;6.37;;;;;;;;;
LEC-1;6.99;7.3;68.03;64.03;3821.59;3711.41;53.59;41.63;2426.65;2012.25;68.27;41.88;36.34;36.41;6.8;6.59;;;;;;;;;
LEC-10;7.36;6.36;76.06;71.47;3920.6;3810.77;64.28;44;2290.29;2045.91;68.94;50.87;35.77;35.51;6.86;6.99;;;;;;;;;
LEC-11;7.14;5.74;66.14;69.53;3576.88;3121.85;30.88;46.79;2264.99;1665.55;68.67;41.5;36.04;35.23;6.82;6.46;;;;;;;;;
LEC-12;7.22;5.99;75.7;63.47;3886.47;3331.5;61.75;37.06;2630.49;1876.13;71.46;45.72;36.06;35.56;6.84;6.78;;;;;;;;;
LEC-14;6.29;4.59;63.15;63.95;3493.47;3221.27;48.81;42.55;2472.22;2119.83;69.19;54.27;36.36;35.96;6.68;6.66;;;;;;;;;
LEC-15;6.42;5.33;72.96;63.51;3659.33;3172.49;66.02;46.36;2538.29;2126.12;54.97;43.58;36.64;36.25;6.48;6.76;;;;;;;;;
LEC-16;7.81;7.1;77.36;63.66;3529.63;3066.91;56.37;52.35;2269.22;1777.33;46.61;44.58;37.54;36.25;6.59;6.77;;;;;;;;;
LEC-17;5.8;5.63;72.11;62.62;3358.28;2856.43;38.62;43.34;2480.26;1688.25;42.64;42.47;36.82;35.69;6.41;6.88;;;;;;;;;
LEC-18;6.48;6.05;64.62;71.94;3691.52;3635.16;35.2;62.17;2563.61;1566.47;63.46;47.73;36.61;33.61;6.52;6.81;;;;;;;;;
LEC-20;6.8;5.68;66.33;59.47;3349.32;2984.5;48.52;45.04;2114.04;1714.05;64.69;40.66;36.55;36.56;6.44;6.26;;;;;;;;;
LEC-22;6.59;5.51;69.9;73.99;3791.65;3206.65;50.83;43.58;2361.69;2088.84;70.84;40.47;35.61;34.71;6.87;6.15;;;;;;;;;
LEC-24;4.9;5.24;78.32;62.7;3963.69;3212.59;64.08;48.63;3062.55;1632.04;89;41.96;36.47;36.52;6.25;7.05;;;;;;;;;
LEC-25;6.58;5.28;60.41;58.95;3564.84;3000.32;68.87;44.5;3077.81;2554.89;63.7;39.68;35.94;37.86;6.57;6.73;;;;;;;;;
LEC-28;6.38;4.85;64.24;64.03;3606.17;3221.75;50.12;34.67;2184.89;2163.32;47.84;40.91;36.1;35.5;6.4;6.93;;;;;;;;;
LEC-3;5.94;5.63;69.85;63.47;3933.07;3029.28;67;45.27;2377.9;1510.31;50.6;41.81;35.59;36.32;6.33;6.99;;;;;;;;;
LEC-4;6.48;6.48;62.92;69.07;3338.26;3277.62;64.54;36.22;1941.61;1727.79;45.11;44.37;36.1;36.36;6.2;6.86;;;;;;;;;
LEC-5;6.09;4.32;64.55;57.73;3822.16;2728.63;62.52;34.09;2499.58;1819.92;66.58;37.28;36.49;36.66;6.27;5.92;;;;;;;;;
LEC-6;6.5;5.55;63.89;85.25;3583.07;3187.95;53.71;55.3;2470.79;1988.94;61.94;42.74;36.68;37.48;6.47;6.52;;;;;;;;;
LEC-8;6.45;5.76;74.72;58.59;3756.72;2927.01;59.44;36.55;2596.78;2042.47;64.69;41.31;37.03;35.91;6.37;6.93;;;;;;;;;
LEC-9;6.8;5.22;76.97;60.62;3483.5;2866.63;58.99;42.98;2381.76;1958.62;64.91;38.51;37.15;37.18;6.38;6.26;;;;;;;;;
MOU1-1;21.33;5.28;53.79;67.85;3043.75;2971.52;109.72;61.07;2237.55;1641.57;122.04;41.47;34.75;35.9;6.55;6.57;;;;;;;;;
MOU1-10;18.78;6.06;58.31;62.29;2807.6;2631.3;117.7;43.27;1654.38;1331.12;63.11;37.83;37.88;36.23;6.22;6.37;;;;;;;;;
